Character,Unicode,Index,Row,Col,X,Y
 ,U+0020,0,0,0,0,0
!,U+0021,1,0,1,128,0
"""",U+0022,2,0,2,256,0
#,U+0023,3,0,3,384,0
$,U+0024,4,0,4,512,0
%,U+0025,5,0,5,640,0
&,U+0026,6,0,6,768,0
',U+0027,7,0,7,896,0
(,U+0028,8,0,8,1024,0
),U+0029,9,0,9,1152,0
*,U+002A,10,0,10,1280,0
+,U+002B,11,0,11,1408,0
",",U+002C,12,0,12,1536,0
-,U+002D,13,0,13,1664,0
.,U+002E,14,0,14,1792,0
/,U+002F,15,0,15,1920,0
0,U+0030,16,1,0,0,128
1,U+0031,17,1,1,128,128
2,U+0032,18,1,2,256,128
3,U+0033,19,1,3,384,128
4,U+0034,20,1,4,512,128
5,U+0035,21,1,5,640,128
6,U+0036,22,1,6,768,128
7,U+0037,23,1,7,896,128
8,U+0038,24,1,8,1024,128
9,U+0039,25,1,9,1152,128
:,U+003A,26,1,10,1280,128
;,U+003B,27,1,11,1408,128
<,U+003C,28,1,12,1536,128
=,U+003D,29,1,13,1664,128
>,U+003E,30,1,14,1792,128
?,U+003F,31,1,15,1920,128
@,U+0040,32,2,0,0,256
A,U+0041,33,2,1,128,256
B,U+0042,34,2,2,256,256
C,U+0043,35,2,3,384,256
D,U+0044,36,2,4,512,256
E,U+0045,37,2,5,640,256
F,U+0046,38,2,6,768,256
G,U+0047,39,2,7,896,256
H,U+0048,40,2,8,1024,256
I,U+0049,41,2,9,1152,256
J,U+004A,42,2,10,1280,256
K,U+004B,43,2,11,1408,256
L,U+004C,44,2,12,1536,256
M,U+004D,45,2,13,1664,256
N,U+004E,46,2,14,1792,256
O,U+004F,47,2,15,1920,256
P,U+0050,48,3,0,0,384
Q,U+0051,49,3,1,128,384
R,U+0052,50,3,2,256,384
S,U+0053,51,3,3,384,384
T,U+0054,52,3,4,512,384
U,U+0055,53,3,5,640,384
V,U+0056,54,3,6,768,384
W,U+0057,55,3,7,896,384
X,U+0058,56,3,8,1024,384
Y,U+0059,57,3,9,1152,384
Z,U+005A,58,3,10,1280,384
[,U+005B,59,3,11,1408,384
\,U+005C,60,3,12,1536,384
],U+005D,61,3,13,1664,384
^,U+005E,62,3,14,1792,384
_,U+005F,63,3,15,1920,384
`,U+0060,64,4,0,0,512
a,U+0061,65,4,1,128,512
b,U+0062,66,4,2,256,512
c,U+0063,67,4,3,384,512
d,U+0064,68,4,4,512,512
e,U+0065,69,4,5,640,512
f,U+0066,70,4,6,768,512
g,U+0067,71,4,7,896,512
h,U+0068,72,4,8,1024,512
i,U+0069,73,4,9,1152,512
j,U+006A,74,4,10,1280,512
k,U+006B,75,4,11,1408,512
l,U+006C,76,4,12,1536,512
m,U+006D,77,4,13,1664,512
n,U+006E,78,4,14,1792,512
o,U+006F,79,4,15,1920,512
p,U+0070,80,5,0,0,640
q,U+0071,81,5,1,128,640
r,U+0072,82,5,2,256,640
s,U+0073,83,5,3,384,640
t,U+0074,84,5,4,512,640
u,U+0075,85,5,5,640,640
v,U+0076,86,5,6,768,640
w,U+0077,87,5,7,896,640
x,U+0078,88,5,8,1024,640
y,U+0079,89,5,9,1152,640
z,U+007A,90,5,10,1280,640
{,U+007B,91,5,11,1408,640
|,U+007C,92,5,12,1536,640
},U+007D,93,5,13,1664,640
~,U+007E,94,5,14,1792,640
 ,U+00A0,95,5,15,1920,640
¡,U+00A1,96,6,0,0,768
¢,U+00A2,97,6,1,128,768
£,U+00A3,98,6,2,256,768
¤,U+00A4,99,6,3,384,768
¥,U+00A5,100,6,4,512,768
¦,U+00A6,101,6,5,640,768
§,U+00A7,102,6,6,768,768
¨,U+00A8,103,6,7,896,768
©,U+00A9,104,6,8,1024,768
ª,U+00AA,105,6,9,1152,768
«,U+00AB,106,6,10,1280,768
¬,U+00AC,107,6,11,1408,768
­,U+00AD,108,6,12,1536,768
®,U+00AE,109,6,13,1664,768
¯,U+00AF,110,6,14,1792,768
°,U+00B0,111,6,15,1920,768
±,U+00B1,112,7,0,0,896
²,U+00B2,113,7,1,128,896
³,U+00B3,114,7,2,256,896
´,U+00B4,115,7,3,384,896
µ,U+00B5,116,7,4,512,896
¶,U+00B6,117,7,5,640,896
·,U+00B7,118,7,6,768,896
¸,U+00B8,119,7,7,896,896
¹,U+00B9,120,7,8,1024,896
º,U+00BA,121,7,9,1152,896
»,U+00BB,122,7,10,1280,896
¼,U+00BC,123,7,11,1408,896
½,U+00BD,124,7,12,1536,896
¾,U+00BE,125,7,13,1664,896
¿,U+00BF,126,7,14,1792,896
À,U+00C0,127,7,15,1920,896
Á,U+00C1,128,8,0,0,1024
Â,U+00C2,129,8,1,128,1024
Ã,U+00C3,130,8,2,256,1024
Ä,U+00C4,131,8,3,384,1024
Å,U+00C5,132,8,4,512,1024
Æ,U+00C6,133,8,5,640,1024
Ç,U+00C7,134,8,6,768,1024
È,U+00C8,135,8,7,896,1024
É,U+00C9,136,8,8,1024,1024
Ê,U+00CA,137,8,9,1152,1024
Ë,U+00CB,138,8,10,1280,1024
Ì,U+00CC,139,8,11,1408,1024
Í,U+00CD,140,8,12,1536,1024
Î,U+00CE,141,8,13,1664,1024
Ï,U+00CF,142,8,14,1792,1024
Ð,U+00D0,143,8,15,1920,1024
Ñ,U+00D1,144,9,0,0,1152
Ò,U+00D2,145,9,1,128,1152
Ó,U+00D3,146,9,2,256,1152
Ô,U+00D4,147,9,3,384,1152
Õ,U+00D5,148,9,4,512,1152
Ö,U+00D6,149,9,5,640,1152
×,U+00D7,150,9,6,768,1152
Ø,U+00D8,151,9,7,896,1152
Ù,U+00D9,152,9,8,1024,1152
Ú,U+00DA,153,9,9,1152,1152
Û,U+00DB,154,9,10,1280,1152
Ü,U+00DC,155,9,11,1408,1152
Ý,U+00DD,156,9,12,1536,1152
Þ,U+00DE,157,9,13,1664,1152
ß,U+00DF,158,9,14,1792,1152
à,U+00E0,159,9,15,1920,1152
á,U+00E1,160,10,0,0,1280
â,U+00E2,161,10,1,128,1280
ã,U+00E3,162,10,2,256,1280
ä,U+00E4,163,10,3,384,1280
å,U+00E5,164,10,4,512,1280
æ,U+00E6,165,10,5,640,1280
ç,U+00E7,166,10,6,768,1280
è,U+00E8,167,10,7,896,1280
é,U+00E9,168,10,8,1024,1280
ê,U+00EA,169,10,9,1152,1280
ë,U+00EB,170,10,10,1280,1280
ì,U+00EC,171,10,11,1408,1280
í,U+00ED,172,10,12,1536,1280
î,U+00EE,173,10,13,1664,1280
ï,U+00EF,174,10,14,1792,1280
ð,U+00F0,175,10,15,1920,1280
ñ,U+00F1,176,11,0,0,1408
ò,U+00F2,177,11,1,128,1408
ó,U+00F3,178,11,2,256,1408
ô,U+00F4,179,11,3,384,1408
õ,U+00F5,180,11,4,512,1408
ö,U+00F6,181,11,5,640,1408
÷,U+00F7,182,11,6,768,1408
ø,U+00F8,183,11,7,896,1408
ù,U+00F9,184,11,8,1024,1408
ú,U+00FA,185,11,9,1152,1408
û,U+00FB,186,11,10,1280,1408
ü,U+00FC,187,11,11,1408,1408
ý,U+00FD,188,11,12,1536,1408
þ,U+00FE,189,11,13,1664,1408
ÿ,U+00FF,190,11,14,1792,1408
Œ,U+0152,191,11,15,1920,1408
œ,U+0153,192,12,0,0,1536
Š,U+0160,193,12,1,128,1536
š,U+0161,194,12,2,256,1536
Ÿ,U+0178,195,12,3,384,1536
Ž,U+017D,196,12,4,512,1536
ž,U+017E,197,12,5,640,1536
–,U+2013,198,12,6,768,1536
—,U+2014,199,12,7,896,1536
‚,U+201A,200,12,8,1024,1536
