Character,Unicode,Index,Row,Col,X,Y,Width,WidthRatio
 ,U+0020,0,0,0,0,0,31,0.2422
!,U+0021,1,0,1,128,0,40,0.3125
"""",U+0022,2,0,2,256,0,42,0.3281
#,U+0023,3,0,3,384,0,95,0.7422
$,U+0024,4,0,4,512,0,52,0.4062
%,U+0025,5,0,5,640,0,94,0.7344
&,U+0026,6,0,6,768,0,66,0.5156
',U+0027,7,0,7,896,0,26,0.2031
(,U+0028,8,0,8,1024,0,40,0.3125
),U+0029,9,0,9,1152,0,40,0.3125
*,U+002A,10,0,10,1280,0,52,0.4062
+,U+002B,11,0,11,1408,0,102,0.7969
",",U+002C,12,0,12,1536,0,31,0.2422
-,U+002D,13,0,13,1664,0,40,0.3125
.,U+002E,14,0,14,1792,0,31,0.2422
/,U+002F,15,0,15,1920,0,41,0.3203
0,U+0030,16,1,0,0,128,52,0.4062
1,U+0031,17,1,1,128,128,52,0.4062
2,U+0032,18,1,2,256,128,52,0.4062
3,U+0033,19,1,3,384,128,52,0.4062
4,U+0034,20,1,4,512,128,52,0.4062
5,U+0035,21,1,5,640,128,52,0.4062
6,U+0036,22,1,6,768,128,52,0.4062
7,U+0037,23,1,7,896,128,52,0.4062
8,U+0038,24,1,8,1024,128,52,0.4062
9,U+0039,25,1,9,1152,128,52,0.4062
:,U+003A,26,1,10,1280,128,40,0.3125
;,U+003B,27,1,11,1408,128,40,0.3125
<,U+003C,28,1,12,1536,128,102,0.7969
=,U+003D,29,1,13,1664,128,102,0.7969
>,U+003E,30,1,14,1792,128,102,0.7969
?,U+003F,31,1,15,1920,128,40,0.3125
@,U+0040,32,2,0,0,256,120,0.9375
A,U+0041,33,2,1,128,256,58,0.4531
B,U+0042,34,2,2,256,256,58,0.4531
C,U+0043,35,2,3,384,256,52,0.4062
D,U+0044,36,2,4,512,256,64,0.5
E,U+0045,37,2,5,640,256,52,0.4062
F,U+0046,38,2,6,768,256,52,0.4062
G,U+0047,39,2,7,896,256,64,0.5
H,U+0048,40,2,8,1024,256,64,0.5
I,U+0049,41,2,9,1152,256,35,0.2734
J,U+004A,42,2,10,1280,256,44,0.3438
K,U+004B,43,2,11,1408,256,58,0.4531
L,U+004C,44,2,12,1536,256,51,0.3984
M,U+004D,45,2,13,1664,256,71,0.5547
N,U+004E,46,2,14,1792,256,64,0.5
O,U+004F,47,2,15,1920,256,64,0.5
P,U+0050,48,3,0,0,384,58,0.4531
Q,U+0051,49,3,1,128,384,64,0.5
R,U+0052,50,3,2,256,384,58,0.4531
S,U+0053,51,3,3,384,384,52,0.4062
